"","country","year","admin1","admin2","vaccine_name","target_define","doses","target_number"
"5652","GHA",2022,"Northern","Nanumba North","DTP1","SURVIVING_INFANT",7844,8513
"5653","GHA",2022,"Northern","Nanumba South","DTP1","SURVIVING_INFANT",7023,5236
"5654","GHA",2022,"Northern","Saboba","DTP1","SURVIVING_INFANT",5091,4810
"5655","GHA",2022,"Northern","Sagnarigu","DTP1","SURVIVING_INFANT",11461,14607
"5656","GHA",2022,"Northern","Savelugu","DTP1","SURVIVING_INFANT",6416,5893
"5657","GHA",2022,"Northern","Tamale","DTP1","SURVIVING_INFANT",22732,15922
"5658","GHA",2022,"Northern","Tatale-Sangule","DTP1","SURVIVING_INFANT",5203,3979
"5659","GHA",2022,"Northern","Tolon","DTP1","SURVIVING_INFANT",6454,5703
"5660","GHA",2022,"Northern","Yendi","DTP1","SURVIVING_INFANT",9095,7149
"5661","GHA",2022,"Northern","Zabzugu","DTP1","SURVIVING_INFANT",5359,4299
"5662","GHA",2022,"Oti","Biakoye","DTP1","SURVIVING_INFANT",3564,3860
"5663","GHA",2022,"Oti","Guan","DTP1","SURVIVING_INFANT",1814,2124
"5664","GHA",2022,"Oti","Jasikan","DTP1","SURVIVING_INFANT",3540,3377
"5665","GHA",2022,"Oti","Kadjebi","DTP1","SURVIVING_INFANT",3787,3945
"5666","GHA",2022,"Oti","Krachi East","DTP1","SURVIVING_INFANT",7147,5397
"5667","GHA",2022,"Oti","Krachi Nchumuru","DTP1","SURVIVING_INFANT",4624,4183
"5668","GHA",2022,"Ahafo","Asunafo North","DTP3","SURVIVING_INFANT",6162,6981
"5669","GHA",2022,"Ahafo","Asunafo South","DTP3","SURVIVING_INFANT",5772,4651
"5670","GHA",2022,"Ahafo","Asutifi North","DTP3","SURVIVING_INFANT",3932,3929
"5671","GHA",2022,"Ahafo","Asutifi South","DTP3","SURVIVING_INFANT",3642,3723
"5672","GHA",2022,"Ahafo","Tano North","DTP3","SURVIVING_INFANT",5195,4727
"5673","GHA",2022,"Ahafo","Tano South","DTP3","SURVIVING_INFANT",4660,4473
"5674","GHA",2022,"Ashanti","Adansi Akrofuom","DTP3","SURVIVING_INFANT",2257,2963
"5675","GHA",2022,"Ashanti","Adansi Asokwa","DTP3","SURVIVING_INFANT",4761,3861
"5676","GHA",2022,"North East","Mamprugu-Moagduri","DTP3","SURVIVING_INFANT",3756,3737
"5677","GHA",2022,"North East","West Mamprusi","DTP3","SURVIVING_INFANT",8581,7998
"5678","GHA",2022,"North East","Yunyoo-Nasuan","DTP3","SURVIVING_INFANT",3674,3265
"5679","GHA",2022,"Northern","Gushiegu","DTP3","SURVIVING_INFANT",8248,7131
"5680","GHA",2022,"Northern","Karaga","DTP3","SURVIVING_INFANT",5949,5548
"5681","GHA",2022,"Northern","Kpandai","DTP3","SURVIVING_INFANT",7737,6026
"5682","GHA",2022,"Northern","Kumbungu","DTP3","SURVIVING_INFANT",5692,5403
"5683","GHA",2022,"Northern","Mion","DTP3","SURVIVING_INFANT",7138,4780
"5684","GHA",2022,"Northern","Nanton","DTP3","SURVIVING_INFANT",3612,3021
"5685","GHA",2022,"Northern","Nanumba North","DTP3","SURVIVING_INFANT",7539,8513
"5686","GHA",2022,"Northern","Nanumba South","DTP3","SURVIVING_INFANT",6935,5236
"5687","GHA",2022,"Northern","Saboba","DTP3","SURVIVING_INFANT",4911,4810
"5688","GHA",2022,"Northern","Sagnarigu","DTP3","SURVIVING_INFANT",13307,14607
"5689","GHA",2022,"Northern","Savelugu","DTP3","SURVIVING_INFANT",6374,5893
"5690","GHA",2022,"Northern","Tamale","DTP3","SURVIVING_INFANT",20010,15922
"5691","GHA",2022,"Northern","Tatale-Sangule","DTP3","SURVIVING_INFANT",5334,3979
"5692","GHA",2022,"Northern","Tolon","DTP3","SURVIVING_INFANT",6161,5703
"5693","GHA",2022,"Northern","Yendi","DTP3","SURVIVING_INFANT",8993,7149
"5694","GHA",2022,"Northern","Zabzugu","DTP3","SURVIVING_INFANT",5067,4299
"5695","GHA",2022,"Oti","Biakoye","DTP3","SURVIVING_INFANT",3785,3860
"5696","GHA",2022,"Oti","Guan","DTP3","SURVIVING_INFANT",1924,2124
"5697","GHA",2022,"Greater Accra","Ayawaso North","MCV1","SURVIVING_INFANT",3890,3524
