"","AreaCode","SR","District","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","CatNum","Severity","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1159","AREA # 140106","Ayeyawady","Pathein","Yekyi","MMR017006","Yegyi","Yekyi","1","No - no difficulty",262,744,821,784,737,826,774,775,636,514,381,303,229,183,108,76,35,18,15,6,6,6,4,8,3,4,3,2,6,1,3,4,3,2,1,4,3,1,3,4,3,2,2,2,4,5,NA,1,NA,2,2,3,NA,3,NA,3,2,3,5,2,3,NA,3,1,NA,NA,2,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA
"1160","AREA # 140106","Ayeyawady","Pathein","Yekyi","MMR017006","Yegyi","Yekyi","4","Yes - cannot see at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1161","AREA # 140106","Ayeyawady","Pathein","Yekyi","MMR017006","Yegyi","Yekyi","2","Yes - some difficulty",NA,NA,NA,1,1,1,1,2,1,1,1,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1162","AREA # 140106","Ayeyawady","Pathein","Yekyi","MMR017006","Yegyi","Yekyi","3","Yes - a lot of difficulty",NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1163","AREA # 140107","Ayeyawady","Pathein","Thapaung","MMR017003","Thabaung","Thapaung","4","Yes - cannot see at all",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"1164","AREA # 140107","Ayeyawady","Pathein","Thapaung","MMR017003","Thabaung","Thapaung","1","No - no difficulty",537,1265,1425,1351,1437,1372,1339,1235,1125,891,681,503,385,276,163,123,59,42,16,9,11,6,13,6,6,9,2,3,3,6,5,3,4,3,1,2,2,2,2,2,3,3,2,3,4,2,3,NA,2,3,1,3,NA,2,NA,2,2,4,NA,1,4,NA,1,NA,2,3,NA,1,1,2,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"1165","AREA # 140107","Ayeyawady","Pathein","Thapaung","MMR017003","Thabaung","Thapaung","2","Yes - some difficulty",1,4,2,1,8,1,3,6,6,6,4,5,4,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"1166","AREA # 140107","Ayeyawady","Pathein","Thapaung","MMR017003","Thabaung","Thapaung","3","Yes - a lot of difficulty",NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1167","AREA # 140151","Ayeyawady","Pathein","Ngayokaung(ST)","MMR017004","Ngapudaw","Ngayokaung(ST)","1","No - no difficulty",145,313,317,320,306,322,283,316,243,195,166,92,81,47,31,28,13,10,6,3,1,3,3,2,2,3,1,NA,1,1,1,NA,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1168","AREA # 140151","Ayeyawady","Pathein","Ngayokaung(ST)","MMR017004","Ngapudaw","Ngayokaung(ST)","3","Yes - a lot of difficulty",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
