"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","y6","y7","y8","y9","y10","PriAges"
"153","Bago","Tharyarwaddy","AREA # 070406","Nattalin","MMR008012","Nattalin","Nattalin",3,2,5,2,0,12
"154","Bago","Tharyarwaddy","AREA # 070407","Monyo","MMR008013","Monyo","Monyo",1,2,1,4,2,10
"155","Bago","Tharyarwaddy","AREA # 070408","Gyobingauk","MMR008014","Gyobingauk","Gyobingauk",1,1,2,2,1,7
"156","Magway","Magway","AREA # 080101","Magway","MMR009001","Magway","Magway",8,5,3,4,8,28
"157","Magway","Magway","AREA # 080102","Yenangyoung","MMR009002","Yenangyaung","Yenangyoung",3,4,7,2,0,16
"158","Magway","Magway","AREA # 080103","Chauk","MMR009003","Chauk","Chauk",2,1,2,2,6,13
"159","Magway","Magway","AREA # 080104","Taungdwingyi","MMR009004","Taungdwingyi","Taungdwingyi",7,5,8,4,9,33
"160","Magway","Magway","AREA # 080105","Myothit","MMR009005","Myothit","Myothit",5,5,3,2,8,23
"161","Magway","Magway","AREA # 080106","Natmauk","MMR009006","Natmauk","Natmauk",2,9,2,6,2,21
"162","Magway","Minbu","AREA # 080201","Minbu","MMR009007","Minbu","Minbu",6,0,5,8,1,20
"163","Magway","Minbu","AREA # 080202","Pwint Phyu","MMR009008","Pwintbyu","Pwint Phyu",2,4,5,4,5,20
"164","Magway","Minbu","AREA # 080203","Ngape","MMR009009","Ngape","Ngape",0,2,0,2,1,5
"165","Magway","Minbu","AREA # 080204","Salin","MMR009010","Salin","Salin",4,2,4,3,3,16
"166","Magway","Minbu","AREA # 080205","Saytottara","MMR009011","Sidoktaya","Saytottara",0,1,0,2,2,5
"167","Magway","Thayet","AREA # 080301","Thayet","MMR009012","Thayet","Thayet",2,1,1,3,1,8
"168","Magway","Thayet","AREA # 080302","Minhla","MMR009013","Minhla","Minhla",1,2,1,3,0,7
"169","Magway","Thayet","AREA # 080303","Mindon","MMR009014","Mindon","Mindon",0,0,2,1,0,3
"170","Magway","Thayet","AREA # 080304","Kamma","MMR009015","Kamma","Kamma",2,0,1,7,2,12
"171","Magway","Thayet","AREA # 080305","Aunglan","MMR009016","Aunglan","Aunglan",2,5,2,3,5,17
"172","Magway","Thayet","AREA # 080306","Sinpaungwe`","MMR009017","Sinbaungwe","Sinpaungwe`",7,5,1,2,4,19
"173","Magway","Pakokku","AREA # 080401","Pakokku","MMR009018","Pakokku","Pakokku",8,7,4,7,1,27
"174","Magway","Pakokku","AREA # 080402","Yesagyo","MMR009019","Yesagyo","Yesagyo",4,1,6,2,3,16
"175","Magway","Pakokku","AREA # 080403","Myaing","MMR009020","Myaing","Myaing",9,7,10,1,5,32
"176","Magway","Pakokku","AREA # 080404","Pauk","MMR009021","Pauk","Pauk",4,10,6,6,3,29
"177","Magway","Pakokku","AREA # 080405","Seikphyu","MMR009022","Seikphyu","Seikphyu",1,2,1,2,2,8
"178","Magway","Gangaw","AREA # 080501","Gangaw","MMR009023","Gangaw","Gangaw",3,3,3,3,3,15
"179","Magway","Gangaw","AREA # 080502","Htilin","MMR009024","Tilin","Htilin",2,1,2,0,1,6
"180","Magway","Gangaw","AREA # 080503","Saw","MMR009025","Saw","Saw",1,1,1,3,0,6
"181","Magway","Gangaw","AREA # 080551","Kyaukhtu(ST)","MMR009025","Saw","Kyaukhtu(ST)",1,0,2,2,1,6
"182","Mandalay","Mandalay","AREA # 090101","Aungmyetharzan","MMR010001","Aungmyaythazan","Aungmyetharzan",1,1,5,1,2,10
"183","Mandalay","Mandalay","AREA # 090102","Chanayeharzan","MMR010002","Chanayethazan","Chanayeharzan",0,1,1,0,0,2
"184","Mandalay","Mandalay","AREA # 090103","Mahaaungmye","MMR010003","Mahaaungmyay","Mahaaungmye",2,1,2,0,2,7
"185","Mandalay","Mandalay","AREA # 090104","Chanmyatharzi","MMR010004","Chanmyathazi","Chanmyatharzi",2,2,2,4,2,12
"186","Mandalay","Mandalay","AREA # 090105","Pyigyidagun","MMR010005","Pyigyitagon","Pyigyidagun",4,1,3,3,3,14
"187","Mandalay","Mandalay","AREA # 090106","Amarapura","MMR010006","Amarapura","Amarapura",5,3,3,4,5,20
"188","Mandalay","Mandalay","AREA # 090107","Patheingyi","MMR010007","Patheingyi","Patheingyi",2,4,4,8,7,25
"189","Mandalay","Pyin Oo Lwin","AREA # 090201","Pyin Oo Lwin","MMR010008","Pyinoolwin","Pyin Oo Lwin",4,3,4,1,3,15
"190","Mandalay","Pyin Oo Lwin","AREA # 090202","Madaya","MMR010009","Madaya","Madaya",1,5,3,3,7,19
"191","Mandalay","Pyin Oo Lwin","AREA # 090203","Sinku","MMR010010","Singu","Sinku",1,6,5,3,0,15
"192","Mandalay","Pyin Oo Lwin","AREA # 090204","Mogok","MMR010011","Mogoke","Mogok",3,2,4,1,1,11
"193","Mandalay","Pyin Oo Lwin","AREA # 090205","Thabeikkyin","MMR010012","Thabeikkyin","Thabeikkyin",4,2,2,1,1,10
"194","Mandalay","Pyin Oo Lwin","AREA # 090251","Tagaung","MMR010012","Thabeikkyin","Tagaung",0,0,0,0,0,0
"195","Mandalay","Kyaukse","AREA # 090301","Kyaukse","MMR010013","Kyaukse","Kyaukse",5,4,4,6,6,25
"196","Mandalay","Kyaukse","AREA # 090302","Singaing","MMR010014","Sintgaing","Singaing",5,3,1,4,4,17
"197","Mandalay","Kyaukse","AREA # 090303","Myitthar","MMR010015","Myittha","Myitthar",2,2,1,2,6,13
"198","Mandalay","Kyaukse","AREA # 090304","Tada U","MMR010016","Tada-U","Tada U",0,1,1,2,1,5
"199","Mandalay","Myingyan","AREA # 090401","Myingyan","MMR010017","Myingyan","Myingyan",2,7,2,4,6,21
"200","Mandalay","Myingyan","AREA # 090402","Taungtha","MMR010018","Taungtha","Taungtha",6,5,1,2,4,18
"201","Mandalay","Myingyan","AREA # 090403","Natogyi","MMR010019","Natogyi","Natogyi",3,2,1,2,3,11
"202","Mandalay","Nyaung U","AREA # 090404","Kyaukpadaung","MMR010020","Kyaukpadaung","Kyaukpadaung",9,3,5,2,3,22
"203","Mandalay","Myingyan","AREA # 090405","Ngazun","MMR010021","Ngazun","Ngazun",3,2,0,1,0,6
"204","Mandalay","Nyaung U","AREA # 090501","Nyaung U","MMR010022","Nyaung-U","Nyaung U",2,4,0,2,8,16
"205","Mandalay","Nyaung U","AREA # 090551","Ngathayauk","MMR010022","Nyaung-U","Ngat",1,1,0,1,1,4
"206","Mandalay","Yame`thin","AREA # 090601","Yame`thin","MMR010023","Yamethin","Yame`thin",12,8,3,4,3,30
"207","Mandalay","Yame`thin","AREA # 090602","Pyawbwe","MMR010024","Pyawbwe","Pyawbwe",7,7,6,7,7,34
"208","Mandalay","Meiktila","AREA # 090701","Meiktila","MMR010028","Meiktila","Meiktila",2,9,5,5,3,24
"209","Mandalay","Meiktila","AREA # 090702","Mahlaing","MMR010029","Mahlaing","MahlYaing",3,1,4,2,1,11
"210","Mandalay","Meiktila","AREA # 090703","Thazi","MMR010030","Thazi","Thazi",3,9,4,4,9,29
"211","Mandalay","Meiktila","AREA # 090704","Wundwin","MMR010031","Wundwin","Wundwin",3,6,1,5,2,17
"212","Mon","Mawlamyine","AREA # 100101","Mawlamyine","MMR011001","Mawlamyine","Mawlamyine",3,8,4,4,4,23
"213","Mon","Mawlamyine","AREA # 100102","Kyaikemaraw","MMR011002","Kyaikmaraw","Kyaikemaraw",3,2,1,3,3,12
"214","Mon","Mawlamyine","AREA # 100103","Chaungzon","MMR011003","Chaungzon","Chaungzon",3,2,1,1,2,9
