"","Ts","AreaCode","CatNum","Severity","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1094","Makman","AREA # 131001","3","Yes - a lot of difficulty","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1095","Pan San(Pan Kham)","AREA # 131002","1","No - no difficulty","162","276","371","403","326","446","291","406","315","251","228","134","96","89","52","40","16","20","18","8","17","6","10","10","1","4","3","1","-","1","1","2","1","-","1","4","-","-","1","-","-","1","-","-","-","-","-","1","1","1","2","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1096","Pan San(Pan Kham)","AREA # 131002","2","Yes - some difficulty","-","-","-","-","-","-","-","-","-","1","-","-","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1097","Naphang","AREA # 131003","1","No - no difficulty","270","314","448","514","384","786","297","409","397","288","422","229","155","188","69","131","20","31","17","20","43","13","12","14","5","8","-","2","-","4","1","-","2","4","2","5","-","-","-","-","1","-","-","-","1","1","1","-","-","-","4","-","-","-","-","1","-","2","-","-","-","1","-","-","-","1","-","-","-","-","-","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-"
"1098","Naphang","AREA # 131003","2","Yes - some difficulty","-","-","-","-","-","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1099","Naphang","AREA # 131003","3","Yes - a lot of difficulty","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1100","Naphang","AREA # 131003","4","Yes - cannot see at all","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1101","ManKan(ST)","AREA # 131051","1","No - no difficulty","3","6","12","11","9","11","10","8","16","8","8","2","3","1","1","2","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1102","Kengtung","AREA # 131101","1","No - no difficulty","286","832","1089","1155","1192","1325","1209","1167","1210","1039","742","574","475","405","216","182","89","75","48","31","31","16","16","13","11","14","12","11","6","5","8","2","1","5","3","3","6","6","7","3","8","1","6","1","1","2","3","3","5","1","1","-","2","2","1","4","-","1","1","3","-","-","1","1","-","1","1","1","-","1","1","1","1","1","-","-","-","1","-","1","-","1","1","-","-","1"
"1103","Kengtung","AREA # 131101","2","Yes - some difficulty","-","-","-","-","1","-","2","1","-","2","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1104","Minekat","AREA # 131102","1","No - no difficulty","23","61","74","82","78","104","82","66","63","49","38","41","24","12","12","4","3","6","2","1","1","1","-","-","-","2","-","-","2","-","1","1","-","-","-","-","-","-","-","-","-","-","-","1","-","1","-","-","-","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1105","Minekat","AREA # 131102","2","Yes - some difficulty","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1106","Mineyan","AREA # 131103","1","No - no difficulty","57","100","156","203","189","228","144","186","140","113","98","65","31","40","15","13","6","10","4","3","4","3","3","-","-","3","-","1","1","1","-","-","1","1","-","-","-","1","1","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1107","Minelar","AREA # 131104","1","No - no difficulty","51","105","109","133","95","145","105","133","113","61","58","48","33","27","12","16","2","3","3","3","2","-","3","2","1","-","-","-","1","-","-","-","-","-","1","1","1","1","-","-","-","-","-","-","-","-","1","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-"
"1108","Minelar","AREA # 131104","2","Yes - some difficulty","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
